rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R35078,david,eli,wilson,m,32,10/3/1988,68  Williams  Street,Coalfalls,4305,QLD,07  2096  5256,wilson4@mail.com.au
R71313,andrewwilliam,lemont,ladd,m,25,11/2/1995,12  Chifley  Court,Moranbah,4744,QLD,07  1543  0474,ladd.andrewwilliam@mail.com.au
R45920,ronald,antonio,watkins,m,57,16/2/1963,Chalmers  Court,Jimboomba,4280,QLD,07  8088  8865,ronald72@hotmail.com
R32530,shirley,l,mitchell,f,31,16/1/1989,6  Harding  Street,Moorabbin,3189,VIC,03  5164  9912,iedcgacflh@yahoo.com
R13117,randall,gary,clark,m,30,8/6/1990,4  Coolibah  Crescent,Alice  Springs,0870,NT,08  3970  1717,oqedapojnm@aol.com
R85980,shirley,gail,morgan,f,25,2/1/1995,4  Neill  Terrace,Hamilton  South,2303,NSW,02  4086  6244,morgan.shirley@hotmail.com
R93363,elizabeth,brooke,clay,f,44,25/10/1976,5  Weir  Place,Kings  Langley,2147,NSW,02  9105  7768,elizabeth.clay@gmail.com
R74161,humam,sid,earon,m,36,26/10/1984,117  Broome  Street,Highgate,6003,WA,08  8421  1579,earon86@gmail.com
R47630,frances,irene,walker,f,28,26/1/1992,470  Glenferrie  Road,Hawthorn,3122,VIC,03  0906  1031,nnjjclqbej@mail.com
R45641,carol,b,mayhew,f,37,25/2/1983,49  Staghorn  Street,Enoggera,4051,QLD,07  6288  5921,mayhew91@mail.com.au
R76920,ronald,neal,young,m,33,21/10/1987,49  Babbler  Way,Beechboro,6063,WA,08  1304  1091,ronald.young@mail.com.au
R39239,reynaldo,h,adkins,m,23,30/9/1997,52  Ray  Road,Epping,2121,NSW,02  7478  9807,adkins.reynaldo@gmail.com
R37989,jonnie,yount,forsyth,f,27,21/8/1993,30  Wilton  Avenue,Newcomb,3219,VIC,03  7726  5661,jonnie43@mail.com
R52037,joseph,david,lawson,m,19,1/4/2001,610  Boston  Road,Chandler,4155,QLD,07  7508  7431,lawson24@gmail.com
R32286,tiffany,p,norgan,f,28,2/12/1992,41  Rocklands  Road,Wollstonecraft,2065,NSW,02  1762  6210,cmrtlhkaiq@aol.com
R69281,tashika,j,johnson,f,32,6/4/1988,5  Milloo  Crescent,Mount  Waverley,3149,VIC,03  9024  5525,gfrperhars@aol.com
R61371,leonia,holley,bell,f,48,8/8/1972,83  North  Creek  Road,Ballina,2478,NSW,02  9581  2655,bell.leonia@hotmail.com
R15012,norma,hummel,moore,f,37,6/10/1983,16  Ramage  Place,Flynn,2615,ACT,02  1078  2270,norma.moore@yahoo.com
R20868,fredrick,arnold,weaver,m,33,3/10/1987,1  Endicott  Loop,Dunsborough,6281,WA,08  3936  2103,weaver71@mail.com.au
R89545,thomas,louis,myers,m,34,13/4/1986,Albury  Road,Cookardinia,2650,NSW,02  4073  1076,myers50@hotmail.com
R70329,pauline,propst,mabe,f,23,1/12/1997,395  Hawkesbury  Road,Winmalee,2777,NSW,02  6026  2063,mabe.pauline@yahoo.com
R16965,jerry,wayne,alspaugh,m,22,29/4/1998,11  Regal  Place,East  Perth,6004,WA,08  6311  7964,alspaugh.jerry@aol.com
