rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R44934,karen,nicole,cybulski,f,46,15/9/1974,427  Brunswick  Road,Brunswick  West,3055,VIC,03  1486  5086,karen.cybulski@aol.com
R78033,david,eli,wilson,m,32,10/3/1988,68  Williams  Street,Coalfalls,4305,QLD,07  2096  5256,wilson4@mail.com.au
R13144,ronald,antonio,watkins,m,57,16/2/1963,Chalmers  Court,Jimboomba,4280,QLD,07  8088  8865,ronald72@hotmail.com
R67215,qua'neika,ann,bennett,f,33,31/3/1987,6  Pipeline  Drive,Eimeo,4740,QLD,07  9425  9742,qua'neika58@aol.com
R14362,randall,gary,clark,m,30,8/6/1990,4  Coolibah  Crescent,Alice  Springs,0870,NT,08  3970  1717,oqedapojnm@aol.com
R71160,shirley,gail,morgan,f,25,2/1/1995,4  Neill  Terrace,Hamilton  South,2303,NSW,02  4086  6244,morgan.shirley@hotmail.com
R21947,humam,sid,earon,m,36,26/10/1984,117  Broome  Street,Highgate,6003,WA,08  8421  1579,earon86@gmail.com
R97831,frances,irene,walker,f,28,26/1/1992,470  Glenferrie  Road,Hawthorn,3122,VIC,03  0906  1031,nnjjclqbej@mail.com
R57373,thomas,dale,sing,m,17,5/11/2003,8  Dalgety  Street,Brunswick  West,3055,VIC,03  0918  1358,sing.thomas@mail.com
R65574,kyrie,darroch,cole,f,21,23/3/1999,8  Remora  Close,Yeppoon,4703,QLD,07  3689  4630,kyrie3@mail.com.au
R26859,miranda,antoinette,nichols,f,33,12/2/1987,111  Bloomfield  Street,Alice  Springs,0870,NT,08  8934  3985,nichols.miranda@aol.com
R10080,travis,rayne,barfield,m,41,11/6/1979,14  Prince  of  Wales  Avenue,Mill  Park,3082,VIC,03  7547  3983,irajplfhob@mail.com
R51844,octavis,greene,ryals,f,40,7/1/1980,5  Poulter  Street,West  Wollongong,2500,NSW,02  3302  1711,octavis10@hotmail.com
R27459,michael,thomas,carpenter,m,44,7/9/1976,15  Kemp  Avenue,Thomastown,3074,VIC,03  1079  9575,michael21@gmail.com
R57982,danielle,carol,aldridge,f,20,31/7/2000,22  Excelsior  Road,Cronulla,2230,NSW,02  4571  8032,cjgojjdndn@mail.com
R89104,tiffany,p,norgan,f,28,2/12/1992,41  Rocklands  Road,Wollstonecraft,2065,NSW,02  1762  6210,cmrtlhkaiq@aol.com
R97274,pinkney,wayne,newman,m,25,3/2/1995,272  Havannah  Street,Bathurst,2795,NSW,02  2879  9783,newman2@gmail.com
R29836,tashika,j,johnson,f,32,6/4/1988,5  Milloo  Crescent,Mount  Waverley,3149,VIC,03  9024  5525,gfrperhars@aol.com
